83904576; 47 42 16 2 3; 2 6; 17-4-1976
13132748; 28 13 10 23 7; 5 3; 19-6-1930
25204370; 48 44 29 31 36; 6 10; 15-12-1987
35959448; 25 42 30 22 31; 2 4; 15-7-1958
09185465; 21 2 17 28 32; 3 8; 14-8-1901
72794037; 30 7 44 28 6; 5 10; 27-9-2001
78754770; 49 1 21 23 28; 7 6; 9-1-1917
75484774; 15 44 20 39 10; 3 8; 27-7-1920
22346662; 29 35 22 8 25; 10 6; 17-8-1936
50773086; 7 22 14 6 49; 2 7; 27-8-1974
57646072; 10 19 37 31 6; 10 9; 23-10-2009
97192774; 12 22 40 6 2; 5 2; 8-7-1965
36160779; 49 13 33 3 9; 6 5; 9-7-1944
62286649; 18 39 27 4 24; 9 3; 27-12-1972
47136257; 25 22 5 33 4; 2 3; 5-5-1937
16901249; 48 17 40 26 21; 10 7; 18-10-1911
93196451; 48 36 28 10 13; 9 7; 19-7-1992
15462590; 9 19 30 45 27; 7 3; 19-7-1989
95416361; 23 13 48 12 44; 9 10; 5-3-1964
74283243; 37 47 42 25 30; 7 4; 10-6-1921
87939523; 20 31 8 22 38; 2 1; 15-1-2008
76744574; 48 32 49 2 40; 6 7; 4-11-1924
39893573; 49 21 41 24 30; 10 2; 28-11-1916
54599720; 28 2 8 16 49; 8 9; 8-9-1917
02210693; 7 38 25 21 16; 10 6; 13-8-1936
23495866; 28 35 20 42 31; 9 8; 31-3-1929
63075810; 32 34 19 27 10; 8 4; 29-10-1989
14492967; 48 29 37 49 27; 3 8; 30-3-1962
93240932; 9 44 27 2 1; 5 7; 16-3-1961
73262418; 46 10 43 42 24; 7 6; 27-1-1922
80938346; 26 28 39 12 43; 8 5; 7-11-1906
61868152; 33 17 36 43 44; 8 10; 27-2-1974
05267477; 42 9 41 5 43; 10 2; 23-11-1967
32319395; 19 11 32 30 31; 3 2; 18-2-1913
42355662; 28 10 32 20 25; 3 10; 22-7-1992
22780634; 7 18 5 45 47; 4 3; 9-11-1991
71964559; 11 38 48 44 3; 2 6; 24-5-1910
34762006; 22 16 31 20 43; 5 9; 6-8-1960
63646826; 10 48 18 41 9; 2 1; 17-1-1975
89512821; 44 36 18 41 45; 1 8; 22-6-1971
09016226; 22 28 25 21 15; 2 6; 27-10-1905
78015032; 11 29 23 40 24; 10 5; 22-12-2019
60322651; 6 48 16 27 41; 4 2; 2-12-2001
96114371; 11 47 27 49 8; 4 10; 26-3-1950
62739369; 24 7 8 23 49; 1 5; 1-10-1973
22262697; 14 37 46 32 6; 1 6; 1-1-2007
35301749; 21 32 37 31 8; 7 4; 15-8-1907
63880549; 13 16 39 29 21; 9 7; 26-8-1949
72428398; 17 27 46 41 25; 10 5; 25-1-1931
91387154; 13 31 30 22 25; 6 7; 18-1-1984
02016715; 21 24 40 3 36; 4 3; 2-6-1915
20391646; 46 31 49 5 22; 4 1; 4-11-1943
79585201; 2 26 23 27 49; 7 2; 26-9-1956
46489602; 40 15 3 33 35; 9 10; 12-8-2000
04555905; 11 29 20 9 1; 4 1; 25-2-1909
88885412; 5 41 16 49 35; 3 5; 26-6-1971
96130601; 12 21 44 3 4; 6 3; 2-3-1977
61288025; 28 3 15 14 19; 5 10; 14-3-1963
02901840; 18 33 47 16 24; 5 3; 24-4-1960
56984732; 33 9 41 5 8; 8 3; 12-10-1992
11621435; 19 9 44 13 32; 2 7; 3-8-1945
78931035; 36 19 2 12 46; 6 10; 11-3-1989
30962343; 15 16 33 4 36; 10 4; 29-8-2018
55637406; 27 11 4 6 15; 3 6; 2-1-1910
38488008; 11 12 20 1 41; 2 4; 14-5-2002
17002071; 11 30 27 25 14; 3 1; 19-1-1909
87526310; 17 24 27 13 10; 5 6; 4-4-1902
26251255; 23 40 32 35 9; 2 1; 14-11-1937
35497039; 39 22 10 14 47; 8 2; 6-1-1985
41112773; 48 35 25 42 46; 1 6; 1-9-1981
67153359; 36 31 8 6 28; 5 10; 13-12-2019
94542986; 11 19 33 24 48; 5 7; 11-8-2003
54528720; 22 31 18 11 32; 10 5; 17-2-1958
53937396; 33 49 35 42 25; 3 5; 20-2-1993
34055100; 11 32 33 48 16; 6 3; 2-11-1920
21967268; 25 5 32 41 24; 7 8; 11-4-1985
92624096; 19 28 35 43 21; 5 2; 20-2-1967
07635096; 46 21 25 9 48; 3 7; 5-5-1919
71834578; 30 32 48 13 15; 6 1; 7-12-1900
08056260; 28 17 22 35 6; 1 8; 21-11-1968
75657070; 1 29 8 9 42; 10 2; 9-10-1991
30358402; 8 5 7 4 32; 10 7; 27-6-1948
99882682; 30 40 36 6 37; 8 4; 8-8-2011
10513897; 26 40 45 36 30; 8 6; 23-5-1939
96276295; 18 6 39 10 9; 2 1; 1-7-1954
71538422; 9 41 20 42 36; 4 3; 1-5-1956
15184589; 4 41 49 19 38; 3 10; 22-12-1922
77300873; 49 32 12 45 35; 5 6; 27-12-1923
95829297; 21 25 11 48 47; 5 3; 19-10-1952
36907251; 9 47 1 46 19; 5 3; 19-6-1995
73310506; 28 1 38 7 31; 2 1; 13-5-1994
88640779; 37 12 31 34 20; 10 9; 18-7-1953
33810876; 36 13 33 38 22; 9 10; 25-5-1936
95518739; 3 31 12 47 20; 6 3; 24-9-1913
48606325; 37 17 6 23 44; 9 2; 4-5-2006
02616110; 21 39 29 46 18; 10 8; 24-7-1970
52486567; 14 30 45 24 39; 8 4; 18-1-1991
99812523; 7 44 13 23 30; 4 3; 2-2-1921
46946059; 36 4 34 17 3; 10 6; 15-4-1982
26603311; 33 49 15 14 5; 5 8; 17-7-2016
08520616; 28 26 46 47 30; 3 7; 11-2-1901
56147804; 42 46 24 21 48; 6 10; 19-8-1969
97662074; 42 16 44 9 24; 3 7; 23-3-1958
91365980; 9 49 14 46 24; 3 1; 28-8-1925
33672430; 21 48 37 25 29; 2 9; 3-4-1956
90870122; 39 9 6 21 34; 10 1; 16-5-1944
32573272; 29 25 19 41 40; 1 9; 17-2-1923
60886425; 43 38 25 4 29; 1 2; 27-6-1957
64357931; 5 24 23 19 48; 2 7; 18-1-1953
86687247; 10 25 48 38 30; 5 6; 7-4-2008
52932330; 31 22 29 28 45; 4 1; 24-7-2014
37052264; 39 38 44 18 9; 8 4; 3-10-1920
84661788; 19 15 17 45 43; 5 10; 3-12-1988
93687293; 44 27 20 47 34; 10 8; 25-6-1902
12959036; 6 37 43 22 45; 8 5; 26-1-1983
17986180; 2 28 1 41 12; 5 10; 16-9-2014
97192886; 34 44 13 39 32; 1 7; 11-8-1932
49484678; 40 33 42 49 25; 4 10; 29-1-1922
16441930; 12 37 22 44 19; 9 1; 20-4-2015
93239013; 8 43 32 49 12; 8 7; 27-2-1910
05238972; 19 39 25 13 43; 7 6; 8-3-1949
07081279; 5 39 21 45 15; 5 9; 11-6-2011
80935153; 37 17 38 13 19; 7 4; 2-6-1911
55698779; 18 43 25 29 14; 2 5; 10-11-1995
55164240; 45 47 29 22 17; 3 6; 17-4-1931
79239397; 44 33 32 36 6; 5 2; 31-1-2004
59303994; 22 27 2 5 39; 2 7; 12-11-2003
17925703; 24 3 1 41 21; 8 5; 10-12-2012
03282669; 30 33 42 45 49; 2 5; 3-3-1989
34146309; 17 8 37 46 27; 5 4; 29-9-1925
49872535; 23 46 3 10 35; 4 5; 11-3-1999
76035024; 40 46 35 32 31; 7 2; 25-6-1940
82757874; 28 37 43 15 40; 1 4; 23-3-1906
77411642; 42 23 29 45 21; 5 1; 25-6-1924
96343522; 3 4 46 36 14; 2 6; 3-4-1983
56385376; 6 8 42 45 2; 9 7; 12-3-1987
05426109; 2 46 4 18 22; 5 4; 22-2-1952
57226171; 27 36 8 32 46; 3 9; 30-8-2014
84843183; 4 47 34 19 45; 9 4; 16-6-1922
60747987; 39 12 49 21 46; 4 1; 24-5-1975
11883227; 41 39 16 44 26; 2 9; 30-3-1973
95431641; 11 27 46 41 8; 7 10; 10-4-1925
69893405; 7 20 15 45 49; 1 10; 4-4-2008
47916019; 27 5 13 43 18; 2 10; 11-1-1941
91961238; 15 39 13 49 2; 2 1; 18-4-1943
47050617; 34 20 44 5 39; 9 5; 16-6-1948
26660504; 3 13 49 20 35; 9 2; 3-12-1944
20698780; 28 17 12 3 30; 10 3; 27-2-1935
07797877; 41 12 37 2 25; 6 3; 17-8-1982
06668695; 30 32 33 1 42; 10 2; 5-1-1963
31457766; 35 14 18 6 23; 1 2; 19-9-1963
99953942; 47 38 26 33 15; 10 2; 16-9-1916
90890492; 31 32 28 11 44; 7 2; 9-8-1901
28311551; 5 17 6 43 26; 1 8; 15-4-1984
87853732; 5 29 25 6 20; 6 4; 2-9-1934
52465641; 8 14 43 39 24; 7 9; 8-12-1988
11670303; 40 43 25 3 20; 3 1; 19-12-1902
32412563; 15 28 21 34 13; 7 8; 22-6-1995
85256792; 7 13 9 2 14; 3 1; 21-4-1955
26284677; 14 28 18 11 16; 7 10; 8-12-2009
35051846; 4 25 6 20 46; 7 6; 17-9-1900
43560810; 32 19 6 31 13; 10 7; 25-8-1907
85074559; 10 30 9 20 31; 5 8; 4-9-2020
84478762; 15 36 33 13 19; 1 7; 3-7-1941
27951486; 47 37 22 14 15; 5 9; 25-7-2010
31915652; 20 21 22 46 1; 10 1; 4-8-2011
16013503; 6 29 28 39 5; 3 10; 12-10-1902
